hour_of_day,skipped
0,0.5182648401826484
1,0.5207172280106614
2,0.5489203778677463
3,0.5389667250437828
4,0.5188739603326935
5,0.5026861089792786
6,0.4668205424120023
7,0.4995773457311919
8,0.5013246982631734
9,0.47938793879387936
10,0.4939195509822264
11,0.5162259615384616
12,0.5237211221122112
13,0.513521100402358
14,0.5135461604831751
15,0.5026653849514987
16,0.5122035063595738
17,0.5306965219785262
18,0.5258261459443745
19,0.5171287024349109
20,0.5316036728592782
21,0.5244000806614236
22,0.531058716844253
23,0.5313969571230982
